row_number,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,section,in_person_classes,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
26,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, HTML / CSS",In-Person,,5 to 10 hours,3 to 5 hours,2,5,3,7,6,0,4,6,7,4,,,,4,4,6,5,6,6
27,23,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,2,3,3,7,7,1,6,6,3,4,7,,4,6,4,4,4,4,4
28,23,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,3,2,7,3,2,6,6,5,5,7,,6,6,4,5,6,6,5
29,24,Returning UNC Student,No,Biology,No,"MATH 129P, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,4,2,2,6,5,0,7,6,7,7,,,,6,4,5,7,6,6
30,22,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,1,1,1,4,4,3,4,4,4,5,5,4,4,6,5,4,6,7,5
31,23,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,5,4,4,4,3,1,5,1,7,4,,5,5,4,4,5,5,5,5
32,23,Returning UNC Student,No,Biology,No,STOR 155,None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,2,3,4,7,5,0,7,6,6,5,4,4,5,4,3,5,7,6,7
33,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,3,2,2,6,5,2,6,4,5,4,4,,7,5,5,3,5,5,5
34,24,Returning UNC Student,No,Biology,No,MATH 231,None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,5 to 10 hours,2,5,6,7,4,2,4,2,2,1,,,,7,7,2,2,7,2
35,24,Returning UNC Student,Yes - BS,Biology,No,"MATH 130, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,4,6,6,7,6,1,3,2,5,2,3,4,4,6,5,4,4,4,3
36,22,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,7,2,1,7,3,1,5,6,6,5,5,4,4,6,5,5,4,7,4
37,22,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,6,2,1,6,6,0,6,6,7,7,5,,,5,5,6,7,7,7
38,24,Returning UNC Student,No,Biology,No,MATH 232,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,1,2,1,7,3,0,7,3,4,2,,,5,5,5,2,5,4,4
39,23,Incoming Transfer Student,No,Biology,No,MATH 130,None to less than one month!,,,,,,Remote,Yes,None,5 to 10 hours,7,7,7,7,5,1,3,5,3,5,6,6,7,7,7,2,5,5,2
40,24,Returning UNC Student,No,Biology,Maybe,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,7,3,3,6,5,1,5,4,3,1,6,,,6,6,3,5,4,5
41,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,7,7,6,7,5,2,5,3,5,5,2,,7,5,5,2,5,6,3
42,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,3,2,7,5,1,7,7,3,3,5,5,7,7,7,1,5,6,4
43,23,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, MATH 233, PSYC 210",2-6 months,No,No,None,1 month or so,R / Matlab / SAS,In-Person,,0 to 2 hours,5 to 10 hours,6,1,1,7,5,2,5,7,6,7,7,7,7,6,6,4,6,6,7
44,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,0 to 2 hours,4,7,7,7,5,1,4,5,6,6,6,,,6,4,4,6,6,7
45,23,Returning UNC Student,No,Biology,No,"MATH 130, STOR 155",2-6 months,No,No,Another college or community college,1 month or so,"Python, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,6,2,1,7,7,1,6,1,7,1,7,4,6,7,6,6,3,1,5
46,22,Returning UNC Student,No,Biology,Maybe,"MATH 130, MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,3,4,4,2,5,0,7,7,7,7,4,4,,4,4,6,7,7,7
47,22,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 130, MATH 231, MATH 232, PSYC 210, STOR 151, STOR 155",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,3 to 5 hours,5,2,2,3,4,1,7,6,6,6,5,5,4,5,4,4,6,6,6
48,21,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,6,1,1,5,2,2,7,7,7,7,,,,6,5,5,7,7,6
49,23,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,1,1,1,4,2,2,6,6,6,3,7,,,7,6,3,7,7,5
50,22,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,4,6,4,7,3,3,2,2,2,4,4,,,7,7,1,3,2,2
51,22,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,5,5,4,7,3,1,6,5,6,6,6,,7,5,5,5,7,5,6
52,24,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,6,6,6,4,1,2,3,7,3,4,,,5,4,4,2,5,2
53,23,Incoming Transfer Student,No,Biology,No,"MATH 129P, STOR 151, STOR 155",None to less than one month!,,,,,,In-Person,,10+ hours,5 to 10 hours,6,3,3,6,6,1,1,2,6,2,,5,5,5,7,1,5,3,3
54,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,10+ hours,4,7,7,7,3,0,7,5,5,5,1,2,4,7,7,2,5,4,5
55,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,,Yes,0 to 2 hours,5 to 10 hours,5,2,3,7,2,1,6,6,7,7,,,6,5,5,5,6,5,7
56,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,5 to 10 hours,6,1,1,7,5,1,5,5,6,4,,,,4,4,5,7,5,5
57,22,Returning UNC Student,No,Biology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,7,4,1,7,4,1,7,7,7,7,7,,,7,3,5,7,7,7
58,23,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,7,2,2,7,6,0,4,5,5,4,4,4,4,3,3,7,5,4,5
59,23,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, PSYC 210, STOR 151, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,10+ hours,4,5,2,6,1,1,5,4,4,5,7,,5,6,6,4,6,2,5
60,24,Returning UNC Student,No,Biology,Yes,"MATH 231, MATH 232, MATH 233, STOR 151",1-2 years,No,No,N/A,1-2 years,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, SQL",Remote,Yes,5 to 10 hours,3 to 5 hours,6,3,4,1,4,0,4,3,5,2,,,,3,1,7,4,5,6
61,24,Returning UNC Student,No,Biostatistics,Maybe,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,2,2,1,5,5,1,6,6,6,5,7,,,5,6,6,6,6,6
62,25,Incoming First-year Student,No,Biostatistics,No,MATH 231,None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,3,5,6,2,6,2,6,6,6,6,6,,,4,5,5,2,6,7
63,24,Returning UNC Student,No,Biostatistics,Maybe,"MATH 130, MATH 231, MATH 232",2-6 months,No,No,Another college or community college,None to less than one month!,Python,In-Person,,0 to 2 hours,5 to 10 hours,3,4,3,5,3,2,5,2,6,4,6,,7,4,4,5,5,6,6
64,24,Returning UNC Student,No,Biostatistics,Maybe,"MATH 231, MATH 232",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,1,1,1,7,5,2,6,7,5,3,7,,,7,6,3,1,5,4
65,24,Incoming Transfer Student,No,Biostatistics,No,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,2,1,1,7,4,1,5,2,6,5,5,6,6,6,5,5,5,6,5
66,25,Incoming First-year Student,Yes - Minor,Biostatistics,No,"MATH 130, MATH 231, MATH 232, MATH 233",7-12 months,Yes,No,High school course (IB or other),2-6 months,Python,In-Person,,3 to 5 hours,3 to 5 hours,7,6,7,4,6,0,2,5,6,6,,,5,4,3,6,7,6,7
67,23,Returning UNC Student,No,Biostatistics ,No,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,4,5,7,6,5,1,5,6,7,7,,,2,4,3,7,7,7,7
68,24,Returning UNC Student,No,Biostatistics ,No,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,3,3,3,5,5,1,5,3,6,5,3,3,4,5,5,4,3,6,5
69,25,Incoming First-year Student,No,Biostatistics ,Maybe,"MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,5,3,2,7,5,4,6,5,5,4,2,4,4,5,4,5,5,5,5
70,24,Returning UNC Student,No,Biostatistics ,No,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,5,4,7,4,0,7,5,7,7,,,,4,4,4,6,6,6
71,24,Returning UNC Student,No,Biostatistics ,No,"MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,JavaScript / TypeScript,In-Person,,3 to 5 hours,0 to 2 hours,7,3,1,7,6,3,6,4,4,4,7,7,5,4,4,5,4,6,5
72,24,Returning UNC Student,No,Business,No,"MATH 232, STOR 155",None to less than one month!,,,,,,,Yes,0 to 2 hours,3 to 5 hours,5,6,6,6,1,3,6,5,5,6,7,7,7,7,7,1,6,6,4
73,24,Returning UNC Student,No,Business,No,"MATH 130, STOR 113, STOR 155",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,Remote,Yes,3 to 5 hours,3 to 5 hours,7,7,7,7,7,5,7,7,4,7,7,7,7,7,7,4,4,4,4
74,24,Returning UNC Student,No,Business,Maybe,STOR 155,None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,5 to 10 hours,1,2,3,7,4,1,7,4,7,5,7,,,4,6,6,7,7,7
75,24,Returning UNC Student,Yes - Minor,Business,Maybe,"STOR 113, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,10+ hours,3,1,2,7,4,1,6,1,7,5,5,,7,5,5,4,7,7,7
76,24,Returning UNC Student,No,Business,Yes,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,0 to 2 hours,3,3,3,5,5,0,6,5,5,2,,,,5,4,5,6,6,7
77,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 130, MATH 231, STOR 155",7-12 months,Yes,No,NA,None to less than one month!,Python,In-Person,,3 to 5 hours,5 to 10 hours,6,2,1,7,6,0,7,7,7,7,7,7,7,5,5,5,6,6,6
78,24,Returning UNC Student,No,Business,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,4,2,2,4,6,1,6,5,5,7,6,4,4,5,6,5,5,6,6
79,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, STOR 113, STOR 155",1-2 years,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, HTML / CSS",In-Person,,5 to 10 hours,3 to 5 hours,4,2,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,7
80,24,Returning UNC Student,Yes - Minor,Business,No,"STOR 113, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,4,4,4,6,5,0,6,6,6,6,3,4,4,4,2,6,6,6,6
81,24,Returning UNC Student,No,Business,No,"MATH 130, MATH 231, STOR 151",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,1,5,5,6,2,2,4,3,6,2,6,,,5,5,3,5,5,4
82,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,2,1,7,5,0,7,3,7,7,3,,,3,3,5,7,6,7
83,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,3,3,3,3,3,2,5,3,5,5,6,,4,7,7,2,7,6,4
84,25,freshman,Yes - Minor,Business,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,7,3,3,7,5,1,6,6,5,6,6,5,5,5,5,5,5,7,7
85,23,Returning UNC Student,No,Business,Yes,"MATH 129P, MATH 152, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,7,4,4,5,2,1,7,6,7,7,7,4,,5,5,5,5,5,4
86,24,Returning UNC Student,Yes - Minor,Business,No,MATH 130,2-6 months,Yes,No,no,None to less than one month!,snap,In-Person,,0 to 2 hours,0 to 2 hours,5,2,2,5,4,0,5,7,5,5,4,,5,4,4,4,5,5,5
87,24,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,5,6,6,5,3,0,5,3,7,1,,,6,6,5,3,6,6,3
88,24,Returning UNC Student,No,Business,Maybe,"MATH 232, STOR 151",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,6,4,3,6,5,1,6,6,6,6,6,6,6,4,5,4,6,5,6
89,24,Returning UNC Student,No,Business,Yes,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,1,7,7,7,4,0,2,5,6,6,,,,6,6,4,5,6,6
90,24,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,2,2,6,2,1,4,4,4,4,4,4,7,7,7,3,6,6,5
91,24,Returning UNC Student,No,Business,Maybe,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, Java / C#",In-Person,,3 to 5 hours,3 to 5 hours,6,7,6,7,1,1,3,1,3,1,4,4,4,6,5,3,5,4,3
92,24,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,2,2,5,5,2,4,1,4,1,4,,,6,7,2,4,5,3
93,24,Returning UNC Student,No,Business,Maybe,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,3,3,7,4,2,6,3,3,3,5,6,4,7,7,2,7,7,6
94,24,Returning UNC Student,Yes - BA,Business,No,"STOR 113, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,7,7,7,5,5,0,6,2,7,2,6,4,6,5,4,5,7,7,7
95,24,Returning UNC Student,No,Business,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,2,7,6,6,4,0,2,2,2,2,,,,7,7,1,2,2,2
96,25,Incoming First-year Student,Yes - Minor,Business,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, STOR 112 - Decision Models for Business, STOR 113, STOR 120, STOR 151, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#, C / C++, HTML / CSS",Remote,Yes,5 to 10 hours,3 to 5 hours,5,7,7,5,7,0,7,7,7,7,,,,3,1,7,7,7,7
97,24,Returning UNC Student,No,Business,Maybe,"MATH 129P, MATH 231, STOR 151, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,0 to 2 hours,5,6,6,7,2,0,5,5,5,5,,,7,4,3,4,6,6,7
98,24,Sophomore,Yes - Minor,Business,No,STOR 155,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,3,2,1,4,4,1,6,4,4,4,4,4,4,4,6,4,6,6,6
99,24,Returning UNC Student,No,Business,No,MATH 152,None to less than one month!,,,,,,In-Person,,0 to 2 hours,0 to 2 hours,5,7,7,7,5,2,7,7,4,1,,5,7,7,7,1,3,2,3
100,23,Returning UNC Student,No,Business,Yes,PSYC 210,None to less than one month!,,,,,,In-Person,,3 to 5 hours,10+ hours,6,2,2,7,5,1,6,6,7,3,,,,5,4,5,7,7,5
101,25,Incoming First-year Student,Yes - BS,Business,No,"MATH 231, MATH 232, STOR 155",1-2 years,No,Yes,none,7-12 months,"Python, JavaScript / TypeScript, R / Matlab / SAS",Remote,Yes,3 to 5 hours,5 to 10 hours,3,5,1,6,7,1,7,7,7,7,7,,5,2,2,7,7,7,7
102,24,Returning UNC Student,Yes - BA,Business,Yes,STOR 155,None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,7,7,7,7,7,0,7,7,7,7,,,7,4,4,5,7,7,7
103,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,3,5,4,7,2,1,6,6,6,6,6,,,7,5,4,4,3,3
104,25,Incoming First-year Student,Yes - BA,Business,Maybe,"MATH 129P, STOR 155",1-2 years,No,No,High school course (IB or other),1 month or so,"Python, C / C++, JavaScript / TypeScript, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,3,5,4,3,4,0,6,5,7,7,,,,4,2,7,7,7,7
105,24,Returning UNC Student,No,Business,No,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,3,1,1,4,4,1,6,2,6,3,7,4,6,6,6,2,6,6,3
106,24,Returning UNC Student,No,Business,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,2,3,3,6,5,3,4,5,6,5,7,5,7,6,6,2,6,6,6
107,24,Returning UNC Student,No,Business,No,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,6,6,7,3,3,5,6,7,7,7,,6,5,5,3,2,2,7
108,24,Returning UNC Student,Yes - Minor,Business,No,"MATH 129P, STOR 113, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,0 to 2 hours,1,6,6,4,3,1,4,4,5,4,4,,6,5,5,3,5,5,4
109,22,Returning UNC Student,No,Business,No,STOR 155,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,2,6,7,7,5,2,2,5,7,6,6,6,4,5,3,6,7,6,7
110,24,Returning UNC Student,Yes - Minor,Business,No,"MATH 231, STOR 155",2-6 months,Yes,No,No,None to less than one month!,Python,In-Person,,,,6,4,2,7,3,1,5,3,7,4,6,,3,6,4,5,7,7,7
111,23,Returning UNC Student,No,Business,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",Over 2 years,No,Yes,High school course (IB or other),7-12 months,"Python, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,7,1,1,7,3,0,7,7,7,7,,,7,4,4,7,7,7,7
